archive_code,meeting_date,body_name,item_number,title,category,recommendation,official_url,source_type,evidence_level,verification_status,timestamp_status,notes
SP-AI-2022-0405-06,2022-04-05,Beaumont City Council,6,Award a Professional Services Agreement to PlaceWorks for Stewart Park Design,Project development,"Award a professional services agreement to PlaceWorks for landscape architecture and engineering design services in an amount not to exceed $647,971.",https://meetings.municode.com/adaHtmlDocument/index?cc=BEAUMNTCA&ip=True&me=dd5c44d754554b7a806ab7f2eb72c0ab,Official agenda,A,verified,pending,Foundational modern project-design contract.
SP-AI-2022-0719-19,2022-07-19,Beaumont City Council,19,Stewart Park Electrical Maintenance Agreement,Related maintenance,"Approve a purchase order and ratify a maintenance agreement for electrical maintenance at Stewart Park in an amount not to exceed $45,860.",https://meetings.municode.com/adaHtmlDocument/index?cc=BEAUMNTCA&ip=False&me=652c9dd1648a4317b9e3d67b475011e8,Official agenda,A,verified,pending,Related park work; separate from the revitalization design project.
SP-AI-2022-0816-08,2022-08-16,Beaumont City Council,8,Community Outreach and Survey Results,Community engagement,Receive and file the survey results and provide comments on future improvement plans.,https://meetings.municode.com/adaHtmlDocument/index?cc=BEAUMNTCA&ip=True&me=d37d8523a7504428b92bab6e6f48d8fc,Official agenda,A,verified,pending,Survey-results presentation.
SP-AI-2022-1101-I3,2022-11-01,Beaumont City Council,I.3,Stewart Park Improvement Project Update,Concept design,Receive the update and provide direction on preliminary design alternatives.,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=637,Official minutes,A,reviewed,pending,Minutes identify the item and a 4-0 approval; exact motion language still needs packet-level confirmation.
SP-AI-2023-0606-TBD,2023-06-06,Beaumont City Council,TBD,Stewart Park Design Presentation / Project Update,Design development,Receive the presentation and provide direction.,https://pub-beaumont.escribemeetings.com/Meeting.aspx?Agenda=Merged&Id=62282085-cbc7-404c-9f14-cc7ae277416b&Item=57&Tab=attachments&lang=English,Official agenda,A,reviewed,pending,Meeting and design material located; exact item number requires direct attachment review.
SP-AI-2023-1121-J1,2023-11-21,Beaumont City Council,J.1,Stewart Park Improvement Project Update,Cost and phasing,Receive the project update and provide direction regarding project phasing and funding.,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=3141,Official minutes,A,verified,pending,"Minutes confirm J.1; staff report documents 30%, 60%, cost estimate, and two-phase strategy."
SP-AI-2024-0618-A,2024-06-18,Beaumont City Council,J.3,Award Phase I Construction Agreement to Act 1 Construction,Construction award,Award the public works agreement for Stewart Park Phase I construction.,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=4589,Official staff report and meeting video,A,verified,verified 4:17:29,"Approved 5-0; video https://www.youtube.com/watch?v=4rJ-kAwq3qE&t=15449s"
SP-AI-2024-0618-B,2024-06-18,Beaumont City Council,J.4,First Amendment to PlaceWorks Agreement,Construction administration,Approve the first amendment for construction administration services.,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=4540,Official staff report and meeting video,A,verified,verified 4:23:58,"Approved 5-0; video https://www.youtube.com/watch?v=4rJ-kAwq3qE&t=15838s"
SP-AI-2024-0716-TBD,2024-07-16,Beaumont City Council,TBD,"95% Plans, Funding, and Completion Direction",Design and funding,"Provide direction on the 95% plans, funding, and completion of Stewart Park and Sports Park improvements.",https://pub-beaumont.escribemeetings.com/Meeting.aspx?Id=f73952b5-921a-4a69-a2ba-03b5cd3ef5e8,Official agenda,A,verified,pending,Exact item number to be captured.
SP-AI-2024-1105-J1,2024-11-05,Beaumont City Council,J.1,Second Amendment to PlaceWorks for NEPA Services,Environmental compliance,"Approve the second amendment for additional environmental services in the amount of $28,765 and authorize limited change orders.",https://pub-beaumont.escribemeetings.com/FileStream.ashx?DocumentId=5403,Official agenda packet,A,verified,pending,NEPA compliance services for CIP P-10.
